Reaction ID,Flux 1,Flux 2,Difference,Reaction,Reaction Name
NADH16pp_etec,0,492.7782006,492.7782006,NADH16pp_etec: 4.0 h[c]_etec + nadh[c]_etec + q8[c]_etec --> 3.0 h[p]_etec + nad[c]_etec + q8h2[c]_etec,NADH dehydrogenase (ubiquinone-8 & 3 protons) (periplasm)
NO2tex_etec,0,-946.2969306,946.2969306,NO2tex_etec: no_shared <=> no2[p]_etec,Nitrite transport via diffusion (extracellular to periplasm)
NO3R1pp_etec,0,946.2969306,946.2969306,NO3R1pp_etec: 2.0 h[c]_etec + no3[c]_etec + q8h2[c]_etec --> h2o[c]_etec + 2.0 h[p]_etec + no2[c]_etec + q8[c]_etec,Nitrate reductase (Ubiquinol-8) (periplasm)
NO3t7pp_etec,0,946.2969306,946.2969306,NO3t7pp_etec: no2[c]_etec + no3[p]_etec --> no2[p]_etec + no3[c]_etec,Nitrate transport in via nitrite antiport (periplasm)
NO3tex_etec,0,946.2969306,946.2969306,NO3tex_etec: no_shared <=> no3[p]_etec,Nitrate transport via diffusion (extracellular to periplasm)
PGK_etec,-3.874964992,-170.0530978,166.1781328,PGK_etec: 3pg[c]_etec + atp[c]_etec <=> 13dpg[c]_etec + adp[c]_etec,Phosphoglycerate kinase
PGM_etec,-3.874964992,-140.0178701,136.1429051,PGM_etec: 2pg[c]_etec <=> 3pg[c]_etec,Phosphoglycerate mutase
POR5_etec,-3.12E-31,-138.4501337,138.4501337,POR5_etec: coa[c]_etec + 2.0 flxso[c]_etec + pyr[c]_etec <=> accoa[c]_etec + co2[c]_etec + 2.0 flxr[c]_etec + h[c]_etec,Pyruvate synthase
PUNP6_etec,3.149985997,127.022765,123.872779,PUNP6_etec: din[c]_etec + pi[c]_etec <=> 2dr1p[c]_etec + hxan[c]_etec,Purine-nucleoside phosphorylase (Deoxyinosine)
SUCDi_etec,0,544.2859076,544.2859076,SUCDi_etec: q8[c]_etec + succ[c]_etec --> fum[c]_etec + q8h2[c]_etec,Succinate dehydrogenase (irreversible)
THD2pp_etec,0,259.1233747,259.1233747,THD2pp_etec: 2.0 h[p]_etec + nadh[c]_etec + nadp[c]_etec --> 2.0 h[c]_etec + nad[c]_etec + nadph[c]_etec,NAD(P) transhydrogenase (periplasm)
PPM2_etec,3.149985997,147.0128654,143.8628794,PPM2_etec: 2dr1p[c]_etec <=> 2dr5p[c]_etec,Phosphopentomutase 2 (deoxyribose)
